Period,Player,Group,Observer,GroupType,MarketPaid,Bid,BidIndex,Won,Value,PricePaid,Profit,TotalCash
1,1,1,-1,large,True,22.5,2,No,24.58,,0,10,
1,1,1,-1,small,False,50,1,Yes,24.58,14.75,9.83,10,
1,2,2,-1,large,True,11,2,No,12.37,,0,10,
1,2,3,-1,small,False,11.25,2,No,12.37,,0,10,
1,3,1,-1,large,True,21.75,3,No,24.32,,0,10,
1,3,2,-1,small,False,21.5,2,No,24.32,,0,10,
1,4,1,-1,large,True,13.75,4,No,12.37,,0,10,
1,4,2,-1,small,False,10.75,4,No,12.37,,0,10,
1,5,1,-1,large,True,10,7,No,11.63,,0,10,
1,5,1,-1,small,False,9.25,3,No,11.63,,0,10,
1,6,2,-1,large,True,10.5,3,No,13.33,,0,10,
1,6,3,-1,small,False,10.5,3,No,13.33,,0,10,
1,7,2,-1,large,True,8,4,No,7.05,,0,10,
1,7,3,-1,small,False,6.25,4,No,7.05,,0,10,
1,8,2,-1,large,True,50,1,Yes,25.3,11,14.3,24.3,
1,8,3,-1,small,False,50,1,Yes,25.3,11.25,14.05,24.3,
1,9,1,-1,large,True,3.75,9,No,5.78,,0,10,
1,9,1,-1,small,False,3.25,4,No,5.78,,0,10,
1,10,1,-1,large,True,1,10,No,2.98,,0,10,
1,10,1,-1,small,False,1,5,No,2.98,,0,10,
1,11,1,-1,large,True,13.75,5,No,16.55,,0,10,
1,11,1,-1,small,False,14.75,2,No,16.55,,0,10,
1,12,1,-1,large,True,6,8,No,7.05,,0,10,
1,12,2,-1,small,False,5,5,No,7.05,,0,10,
1,13,1,-1,large,True,11,6,No,13.33,,0,10,
1,13,2,-1,small,False,13.75,3,No,13.33,,0,10,
1,14,1,-1,large,True,50,1,Yes,25.3,22.5,2.8,12.8,
1,14,2,-1,small,False,50,1,Yes,25.3,21.5,3.8,12.8,
2,1,2,-1,large,False,12.75,2,No,12.86,,0,10,
2,1,3,-1,small,True,12.75,2,No,12.86,,0,10,
2,2,1,-1,large,False,14.5,5,No,17.1,,0,10,
2,2,1,-1,small,True,15.25,4,No,17.1,,0,10,
2,3,1,-1,large,False,14.75,4,No,16.34,,0,10,
2,3,1,-1,small,True,16,2,No,16.34,,0,10,
2,4,1,-1,large,False,6.75,9,No,9.71,,0,10,
2,4,1,-1,small,True,7.5,5,No,9.71,,0,10,
2,5,1,-1,large,False,6.25,10,No,7.46,,0,10,
2,5,2,-1,small,True,4.75,5,No,7.46,,0,10,
2,6,1,-1,large,False,10,8,No,12.52,,0,10,
2,6,2,-1,small,True,10.75,4,No,12.52,,0,10,
2,7,1,-1,large,False,50,1,Yes,28.27,17,11.27,22.27,
2,7,1,-1,small,True,50,1,Yes,28.27,16,12.27,22.27,
2,8,1,-1,large,False,17,2,No,18.58,,0,24.3,
2,8,1,-1,small,True,16,3,No,18.58,,0,24.3,
2,9,2,-1,large,False,5,4,No,7.46,,0,10,
2,9,3,-1,small,True,4.75,4,No,7.46,,0,10,
2,10,2,-1,large,False,50,1,Yes,18.63,12.75,5.88,15.88,
2,10,3,-1,small,True,50,1,Yes,18.63,12.75,5.88,15.88,
2,11,2,-1,large,False,9.75,3,No,12.52,,0,10,
2,11,3,-1,small,True,9.75,3,No,12.52,,0,10,
2,12,1,-1,large,False,10.25,7,No,12.86,,0,10,
2,12,2,-1,small,True,11.25,3,No,12.86,,0,10,
2,13,1,-1,large,False,12.25,6,No,15.24,,0,10,
2,13,2,-1,small,True,14.25,2,No,15.24,,0,10,
2,14,1,-1,large,False,16.75,3,No,18.63,,0,17.18,
2,14,2,-1,small,True,50,1,Yes,18.63,14.25,4.38,17.18,
3,1,2,-1,large,True,50,1,Yes,17.95,11.75,6.2,16.2,
3,1,3,-1,small,False,50,1,Yes,17.95,10.5,7.45,16.2,
3,2,2,-1,large,True,2.25,4,No,5.24,,0,10,
3,2,3,-1,small,False,3,4,No,5.24,,0,10,
3,3,1,-1,large,True,8.75,6,No,10.94,,0,10,
3,3,1,-1,small,False,8,3,No,10.94,,0,10,
3,4,1,-1,large,True,50,1,Yes,25.07,23.5,1.57,11.57,
3,4,2,-1,small,False,50,1,Yes,25.07,15.25,9.82,11.57,
3,5,1,-1,large,True,4.75,8,No,0.27,,0,10,
3,5,1,-1,small,False,2,4,No,0.27,,0,10,
3,6,1,-1,large,True,15,4,No,17.95,,0,10,
3,6,2,-1,small,False,15.25,2,No,17.95,,0,10,
3,7,1,-1,large,True,7,7,No,5.24,,0,22.27,
3,7,2,-1,small,False,3.25,5,No,5.24,,0,22.27,
3,8,2,-1,large,True,11.75,2,No,12.28,,0,24.3,
3,8,3,-1,small,False,10.5,2,No,12.28,,0,24.3,
3,9,1,-1,large,True,23.5,2,No,25.81,,0,10,
3,9,1,-1,small,False,50,1,Yes,25.81,21,4.81,10,
3,10,1,-1,large,True,2.25,10,No,2.48,,0,15.88,
3,10,1,-1,small,False,0.25,5,No,2.48,,0,15.88,
3,11,1,-1,large,True,3.75,9,No,6.4,,0,10,
3,11,2,-1,small,False,7.75,4,No,6.4,,0,10,
3,12,1,-1,large,True,9.75,5,No,12.28,,0,10,
3,12,2,-1,small,False,11,3,No,12.28,,0,10,
3,13,2,-1,large,True,6,3,No,6.4,,0,10,
3,13,3,-1,small,False,6.25,3,No,6.4,,0,10,
